Date,Liquidity
2003-09-30,18669.57190545
2003-10-31,18795.62399559
2003-11-30,19113.29552166
2003-12-31,19812.13339638
2004-01-31,20326.72739638
2004-02-29,20198.06335187
2004-03-31,20503.22293721
2004-04-30,20381.11495997
2004-05-31,20492.99588117
2004-06-30,20461.95423108
2004-07-31,21009.2112152
2004-08-31,21278.09470586
2004-09-30,21887.02961052
2004-10-31,23368.53216582
2004-11-30,24054.56138416
2004-12-31,25436.83802038
2005-01-31,25516.48839377
2005-02-28,26487.42143132
2005-03-31,27469.93771952
2005-04-30,27149.34451742
2005-05-31,27166.67716159
2005-06-30,27777.76979708
2005-07-31,28735.19468079
2005-08-31,28212.8508
2005-09-30,28050.92931778
2005-10-31,28372.68321392
2005-11-30,28885.59309108
2005-12-31,30434.42393544
2006-01-31,29013.34621268
2006-02-28,29283.95875871
2006-03-31,29803.02800766
2006-04-30,28368.80450931
2006-05-31,27892.99912257
2006-06-30,28333.12739281
2006-07-31,29317.89635836
2006-08-31,29890.27796034
2006-09-30,30099.35601295
2006-10-31,30282.0767277
2006-11-30,31878.83562083
2006-12-31,35918.30419924
2007-01-31,36894.31061612
2007-02-28,37828.26342434
2007-03-31,38771.84116907
2007-04-30,38240.33187318
2007-05-31,38799.16803109
2007-06-30,41229.9740832
2007-07-31,41755.44513763
2007-08-31,41825.18710199
2007-09-30,41743.04486308
2007-10-31,43836.80875237
2007-11-30,46296.90277704
2007-12-31,48644.46614427
2008-01-31,51562.28814183
2008-02-29,57593.07366087
2008-03-31,60757.59945923
2008-04-30,63288.37597324
2008-05-31,64516.37515692
2008-06-30,65475.10650714
2008-07-31,64906.15914174
2008-08-31,65445.87259465
2008-09-30,62560.51994232
2008-10-31,60466.83233595
2008-11-30,59424.967422
2008-12-31,60206.57315736
2009-01-31,58217.84386876
2009-02-28,57628.97075228
2009-03-31,57444.82566318
2009-04-30,57312.3553192109
2009-05-31,58062.2666311609
2009-06-30,57960.95472599
2009-07-31,60377.01243912
2009-08-31,60017.0726546
2009-09-30,59891.465961375
2009-10-31,62440.158050816
2009-11-30,64278.278580019
2009-12-31,66561.091512088
2010-01-31,67290.179982883
2010-02-28,69463.991027276
2010-03-31,72065.2325967502
