"","PN01259PM"
"","Índice del tipo de cambio real (base 2009=100) - Multilateral"
Ene95,80.6565045873347
Feb95,81.4701176446636
Mar95,82.5588842232911
Abr95,83.7208103147131
May95,84.0205548838238
Jun95,83.2157783379014
Jul95,82.3031363565894
Ago95,81.748578761226
Sep95,82.1109088668331
Oct95,82.184633525589
Nov95,82.9765080075967
Dic95,83.0391966687872
Ene96,83.4103349575733
Feb96,82.896097643465
Mar96,82.6114785835892
Abr96,83.0369081011486
May96,83.9771805637076
Jun96,84.3192786865839
Jul96,83.2602222160215
Ago96,84.1543859506582
Sep96,85.41769488834
Oct96,86.8651572218207
Nov96,87.673273090886
Dic96,86.5964383183526
Ene97,87.6836291274234
Feb97,87.8822514186081
Mar97,86.2573283156825
Abr97,87.1997705291464
May97,86.876806226064
Jun97,85.4493568607113
Jul97,84.0363843601479
Ago97,83.8300923091702
Sep97,84.1481431308597
Oct97,84.7257671501154
Nov97,85.7672193460701
Dic97,83.7959536113735
Ene98,83.8461421785895
Feb98,85.0215781597114
Mar98,84.2470733286895
Abr98,84.5095467110556
May98,84.599477471832
Jun98,85.1494338873192
Jul98,84.7177497543121
Ago98,85.6697441858279
Sep98,89.8779089607546
Oct98,91.6857646583324
Nov98,92.5451308159801
Dic98,93.5142420385694
Ene99,96.4472811299448
Feb99,99.4151218889973
Mar99,98.7287200633161
Abr99,97.613099956801
May99,96.1904217135646
Jun99,95.4826111469375
Jul99,94.5236822648138
Ago99,96.0665347072234
Sep99,98.404902147786
Oct99,100.93811715904
Nov99,100.732080312782
Dic99,100.610984520047
Ene00,102.097461085875
Feb00,100.851555068083
Mar00,99.8322019948482
Abr00,100.156716202197
May00,99.6821494651983
Jun00,99.5566208820121
Jul00,98.643579565978
Ago00,97.7657627035629
Sep00,97.9173429055277
Oct00,97.814018105137
Nov00,98.4434387701426
Dic00,98.5236306975967
Ene01,99.4025203688249
Feb01,99.316729228697
Mar01,97.7823028588052
Abr01,99.057947422879
May01,99.9202258711737
Jun01,97.3543355815866
Jul01,95.9765440420842
Ago01,96.6436631451591
Sep01,96.8596531604238
Oct01,95.7087667162611
Nov01,95.6581535423775
Dic01,95.9694565864822
Ene02,97.0122456657027
Feb02,97.7664390494347
Mar02,96.8116207075947
Abr02,96.0890272074377
May02,96.6673252929481
Jun02,97.6304534659767
Jul02,99.0909724508868
Ago02,99.6861146456294
Sep02,100.625963744628
Oct02,99.2910247457228
Nov02,99.7439197820958
Dic02,98.1949561798047
Ene03,98.8671196849308
Feb03,98.7288580557708
Mar03,97.8687182089293
Abr03,98.1675334657922
May03,100.012104874068
Jun03,100.231910976165
Jul03,99.6557471316817
Ago03,99.8039807997497
Sep03,100.492827194663
Oct03,101.854398515637
Nov03,102.1251589431
Dic03,102.39566072733
Ene04,103.20214842746
Feb04,102.564793736592
Mar04,101.534891796902
Abr04,101.951777372552
May04,101.333848462725
Jun04,100.673030115218
Jul04,99.7803215188691
Ago04,98.8490021715802
Sep04,98.7203378292074
Oct04,98.5058870039289
Nov04,99.0894439423534
Dic04,99.1036785181531
Ene05,98.7924643530764
Feb05,99.6960943930773
Mar05,99.1025585497878
Abr05,98.9641448328076
May05,98.6642135940511
Jun05,97.5778516248435
Jul05,97.7523663525805
Ago05,99.5794345378803
Sep05,102.127938661147
Oct05,104.104651132767
Nov05,103.363399927543
Dic05,104.73807154872
Ene06,104.702389715173
Feb06,101.372324118491
Mar06,102.379428922388
Abr06,102.448932569511
May06,102.209083735074
Jun06,101.062276457519
Jul06,100.755750195478
Ago06,101.056780318966
Sep06,101.729978234526
Oct06,101.56605221539
Nov06,102.181128806111
Dic06,102.914674037652
Ene07,102.584377843212
Feb07,103.308277869658
Mar07,103.36432357934
Abr07,104.21671326029
May07,104.677587947249
Jun07,104.966090303575
Jul07,105.576638167275
Ago07,105.51281006131
Sep07,105.367156871715
Oct07,102.744331938057
Nov07,103.565853527838
Dic07,102.913145893424
Ene08,103.382222915258
Feb08,103.057001729778
Mar08,100.384955794807
Abr08,98.9713372243438
May08,100.457489701277
Jun08,103.416383301873
Jul08,102.22495126959
Ago08,101.92449367792
Sep08,102.178989215149
Oct08,101.226081944004
Nov08,99.513774976019
Dic08,100.049038644306
Ene09,101.676214992247
Feb09,103.602773253632
Mar09,100.856378272032
Abr09,99.4374934764279
May09,98.2810868285598
Jun09,99.4910112390306
Jul09,100.410458277179
Ago09,99.520390203976
Sep09,98.9526931785389
Oct09,98.6175006318583
Nov09,99.7995952714911
Dic09,99.3544043750287
Ene10,98.7183065607253
Feb10,97.8963135679162
Mar10,97.4996201331571
Abr10,97.8894151412539
May10,96.4804677442907
Jun10,95.4411949315005
Jul10,95.9340530824383
Ago10,95.7387875510301
Sep10,96.5314646472745
Oct10,98.9932139229802
Nov10,99.733971485121
Dic10,99.9524589001692
Ene11,99.8811400669405
Feb11,100.017395122461
Mar11,100.530414576226
Abr11,102.668257216045
May11,101.600238856739
Jun11,101.565118066163
Jul11,100.748972196582
Ago11,100.786874784953
Sep11,99.3794126459668
Oct11,98.0546953774512
Nov11,96.4416501614852
Dic11,95.2642619920789
Ene12,96.3517716480847
Feb12,97.1206430804803
Mar12,95.8167618467971
Abr12,94.7321103305847
May12,93.9347270008011
Jun12,92.9790093927254
Jul12,91.8784994107105
Ago12,91.4385116380182
Sep12,91.5506971851382
Oct12,91.6449682870893
Nov12,91.7455928902571
Dic12,90.9085635916073
Ene13,90.9324516250911
Feb13,92.5412806585679
Mar13,91.5638296601003
Abr13,91.7066086349031
May13,93.0168006676868
Jun13,96.0944508004635
Jul13,96.2653040217274
Ago13,96.7409357464107
Sep13,96.534858927129
Oct13,97.1166830114299
Nov13,97.7674537599917
Dic13,97.3617608666354
Ene14,97.975855729622
Feb14,97.6720402223053
Mar14,97.2437407984309
Abr14,96.9218171317132
May14,96.8101620389647
Jun14,96.8954792250018
Jul14,96.2002190418914
Ago14,96.8552365516544
Sep14,97.8872522469425
Oct14,98.2603804312067
Nov14,97.9668010773712
Dic14,98.070259288043
Ene15,98.5421871782286
Feb15,100.62729239808
Mar15,98.8959612656073
Abr15,100.017007795158
May15,101.146472095423
Jun15,100.86449489172
Jul15,100.351503091926
Ago15,99.78189988126
Sep15,98.2966531157509
Oct15,99.5905326304143
Nov15,101.023155833155
Dic15,101.145528879937
Ene16,101.199062344235
Feb16,104.419825508109
Mar16,102.205746784034
Abr16,100.358123469969
May16,100.68037271761
Jun16,99.7808899854822
Jul16,98.9096800171517
Ago16,100.281080212041
Sep16,101.578499553927
Oct16,100.623189015134
Nov16,99.3140471752234
Dic16,97.8063581269551
Ene17,97.0372830250582
Feb17,95.2529803869672
Mar17,93.9973491722959
Abr17,94.3556474482799
May17,95.6561384089786
Jun17,96.3305107468976
Jul17,96.3923993151447
Ago17,97.0436062383582
Sep17,98.4623811332696
Oct17,98.26690460131
Nov17,98.0097411948125
Dic17,98.5389660495385
Ene18,99.8897370735241
Feb18,102.264018320988
Mar18,101.256509048797
Abr18,100.826685530576
May18,100.396167104797
Jun18,98.9595190727737
Jul18,97.2789030945558
Ago18,96.8119036065109
Sep18,97.1407211368967
Oct18,97.4550272796668
Nov18,97.9332176306264
Dic18,97.6608580075859
Ene19,98.23451752407
Feb19,98.3748960901039
Mar19,97.239105948739
Abr19,97.1484288132676
May19,96.6111597766335
Jun19,96.7594025245565
Jul19,96.1305429651756
Ago19,97.0397203489724
Sep19,96.2557554611789
Oct19,97.0809740627894
Nov19,97.6276029590521
Dic19,97.2560063431381
Ene20,97.673814204808
Feb20,98.6452903271613
Mar20,98.7427626678962
Abr20,94.267831961965
May20,94.3054159905596
Jun20,97.4034943432227
Jul20,99.0487355545947
Ago20,101.98795915829
Sep20,102.7523289605
Oct20,104.496561406073
Nov20,105.238505055472
Dic20,106.9012452572
Ene21,107.86638623108
Feb21,108.936825272704
Mar21,108.984438877277
Abr21,109.142370582257
May21,112.637054136143
Jun21,116.254016196609
Jul21,115.181708992407
Ago21,118.226649160468
Sep21,118.729755254917
Oct21,115.914816654968
Nov21,115.942910156464
Dic21,115.174187218459
Ene22,111.967935553998
Feb22,109.906956961602
