"","PN01770AM"
"","Producto bruto interno y demanda interna (índice 2007 = 100) - PBI"
Ene95,60.5806961565215
Feb95,57.5549380176915
Mar95,59.3363859007712
Abr95,60.1380373824766
May95,66.9105360828403
Jun95,63.3173121540401
Jul95,63.7982233982927
Ago95,61.3819214733399
Sep95,57.9793560177207
Oct95,60.4099952102323
Nov95,59.9192030341722
Dic95,62.6375098829773
Ene96,60.470412881146
Feb96,59.5859006626207
Mar96,59.6834696936254
Abr96,62.0794389590727
May96,67.7797347111967
Jun96,65.0040743236871
Jul96,66.3647911000838
Ago96,61.9419395980238
Sep96,59.6458392586049
Oct96,61.3980907231429
Nov96,62.2773616445052
Dic96,68.2776396869312
Ene97,64.7694049411494
Feb97,62.3445824913928
Mar97,61.9356500590492
Abr97,69.6993234011707
May97,72.0563152455053
Jun97,69.1459484785254
Jul97,68.674932978123
Ago97,65.4940142064786
Sep97,65.8213530862298
Oct97,67.0963614391168
Nov97,64.5570997755338
Dic97,71.7818462552323
Ene98,63.3018715330228
Feb98,64.51223959425
Mar98,65.4470849242133
Abr98,67.6457483022281
May98,68.3452834459046
Jun98,68.5006268525577
Jul98,68.8792612322889
Ago98,66.6244101151584
Sep98,65.3697123565934
Oct98,65.2447979239698
Nov98,65.308007520751
Dic98,71.0511522656207
Ene99,63.5363925952183
Feb99,63.5692560762247
Mar99,65.1336570515393
Abr99,66.6211413046442
May99,70.9831755104991
Jun99,70.787287679754
Jul99,68.9856733537376
Ago99,64.8372975498017
Sep99,65.8539309043111
Oct99,68.9221108448109
Nov99,68.5497179122948
Dic99,74.4123332566868
Ene00,65.9233110834138
Feb00,65.4093423151195
Mar00,73.8948206209324
Abr00,68.2891865416179
May00,76.217816468046
Jun00,74.1610968440581
Jul00,73.3168854238842
Ago00,67.6866567592084
Sep00,64.0247235662585
Oct00,68.3385390368524
Nov00,68.285120970873
Dic00,68.5278439600958
Ene01,64.542294494918
Feb01,62.0928164250876
Mar01,67.6526600709431
Abr01,71.0371376923905
May01,76.463915442273
Jun01,71.8258539589243
Jul01,74.0412158914779
Ago01,69.5852801604676
Sep01,67.0242744466722
Oct01,72.5210659675258
Nov01,69.3489473227972
Dic01,73.0930820756924
Ene02,70.3458862593518
Feb02,66.1369995209131
Mar02,70.4822008457897
Abr02,77.1511531440769
May02,80.8137037231278
Jun02,75.9116188144197
Jul02,76.5180699071423
Ago02,71.7772881647372
Sep02,70.9312917401122
Oct02,74.0244897164354
Nov02,74.5320832843481
Dic02,76.3728111821688
Ene03,73.2223697356532
Feb03,71.079432278923
Mar03,74.3427231053258
Abr03,80.6677115046248
May03,83.222645844011
Jun03,80.853774469805
Jul03,79.2070171390158
Ago03,74.2120138543618
Sep03,73.8678353680876
Oct03,77.5989135108107
Nov03,75.5725386288336
Dic03,78.0097324133558
Ene04,75.9132669251778
Feb04,74.0974359154403
Mar04,78.6354629791467
Abr04,84.0944721319617
May04,86.5105702285255
Jun04,83.2874590103565
Jul04,82.1067513163865
Ago04,77.5146229152149
Sep04,77.4025938277684
Oct04,79.6324551624725
Nov04,82.7195635167179
Dic04,85.6503020745209
Ene05,79.9791610934839
Feb05,80.1344599066734
Mar05,81.3964129865707
Abr05,87.0734470255749
May05,92.1414551036507
Jun05,88.4557729993011
Jul05,87.2766006292957
Ago05,82.9894831129746
Sep05,82.0878665294671
Oct05,84.8027239326644
Nov05,90.4951176179881
Dic05,91.5459266918293
Ene06,85.6590424919578
Feb06,84.6285220854951
Mar06,91.228692840068
Abr06,91.7780023638019
May06,97.7619063414799
Jun06,95.072899809632
Jul06,92.9616001230902
Ago06,91.5547627296281
Sep06,88.769329600051
Oct06,92.1822066698178
Nov06,94.7874212319493
Dic06,99.4183587606666
Ene07,89.9525619891584
Feb07,88.6681022105583
Mar07,96.7214346263446
Abr07,96.6364193147801
May07,104.746678845017
Jun07,101.254568601752
Jul07,102.545139242961
Ago07,100.128668441286
Sep07,100.240420653565
Oct07,103.151330807994
Nov07,104.09969689671
Dic07,111.854978369874
Ene08,98.5124657536872
Feb08,100.676634145885
Mar08,104.088023197252
Abr08,110.247082044334
May08,112.085329362857
Jun08,112.179938878858
Jul08,112.301116383525
Ago08,108.889993837837
Sep08,110.740740648058
Oct08,111.655298051566
Nov08,110.667091240658
Dic08,117.475106241632
Ene09,102.957851981423
Feb09,101.03370671238
Mar09,107.152725896403
Abr09,108.852131263434
May09,114.233023556979
Jun09,108.973271232089
Jul09,110.739303018833
Ago09,109.854091268809
Sep09,111.00471639979
Oct09,113.066652069327
Nov09,113.616689761738
Dic09,122.38467369331
Ene10,106.149276387258
Feb10,106.181815679423
Mar10,115.871466688352
Abr10,117.530089179309
May10,122.84054139441
Jun10,122.952124694629
Jul10,121.715583387811
Ago10,119.43656195162
Sep10,122.177647930979
Oct10,123.72453697766
Nov10,123.654532316943
Dic10,131.945489530476
Ene11,116.302741541174
Feb11,114.737766544787
Mar11,124.776562514662
Abr11,126.25744448581
May11,129.648241281491
Jun11,126.617366035537
Jul11,129.097719374522
Ago11,127.177016700388
Sep11,128.170148235962
Oct11,129.23834053294
Nov11,129.518543102295
Dic11,143.381082669266
Ene12,122.643043282476
Feb12,122.831990691078
Mar12,132.084617429847
Abr12,130.294040845443
May12,138.616161129596
Jun12,136.159646911252
Jul12,138.46068321796
Ago12,136.158276846841
Sep12,136.815840196687
Oct12,138.823100912428
Nov12,137.36970656224
Dic12,148.291937606082
Ene13,130.559992685857
Feb13,129.079383033107
Mar13,136.716103261567
Abr13,141.786854263316
May13,144.525170085063
Jun13,144.131522429327
Jul13,145.815158918084
Ago13,143.654379670487
Sep13,143.469503554971
Oct13,147.44202969723
Nov13,147.373533984173
Dic13,158.721291667986
Ene14,136.079802233256
Feb14,135.801560872472
Mar14,144.114837672392
Abr14,145.93095375877
May14,148.268520111495
Jun14,144.676064849711
Jul14,147.929033166191
Ago14,145.598328396295
Sep14,147.304981967072
Oct14,150.794566036781
Nov14,147.606279774666
Dic14,159.982899480685
Ene15,138.204498202026
Feb15,137.477202190862
Mar15,148.34699289631
Abr15,152.057063495299
May15,150.170961516218
Jun15,150.586503927201
Jul15,153.258350980469
Ago15,149.484690625058
Sep15,152.000860825852
Oct15,155.730682873871
Nov15,153.424811928952
Dic15,170.392438282989
Ene16,143.098357202023
Feb16,146.309196635533
