"","PN01773AM"
"","Producto bruto interno y demanda interna (índice 2007 = 100) - PBI Desestacionalizado - mensual"
Ago03,78.1299096609216
Sep03,78.3473506201243
Oct03,78.9081423431176
Nov03,75.2093042489586
Dic03,75.7521334867385
Ene04,78.0919804714245
Feb04,78.9393238783818
Mar04,79.8571770952032
Abr04,80.3320593433007
May04,80.2772246303401
Jun04,80.1429365509057
Jul04,80.5521198262066
Ago04,81.0672958196555
Sep04,81.9775661948105
Oct04,81.847518289263
Nov04,81.5271694080385
Dic04,82.7227971483994
Ene05,83.076185978987
Feb05,84.7443785929493
Mar05,82.4383166663078
Abr05,84.5379693056899
May05,85.4047286850945
Jun05,85.2863565757417
Jul05,85.9444109656823
Ago05,85.6791195518041
Sep05,86.5245707615074
Oct05,87.1234289716052
Nov05,89.0875532678117
Dic05,87.9121131862351
Ene06,89.6057266309361
Feb06,89.9481239292913
Mar06,91.6266066789985
Abr06,90.8316629786575
May06,90.9746543165763
Jun06,91.8803909655891
Jul06,91.5394183789024
Ago06,93.2506012930156
Sep06,92.6041150857929
Oct06,93.6013059043123
Nov06,93.6957748663498
Dic06,94.6343467920095
Ene07,96.1704480882607
Feb07,96.2881263161898
Mar07,97.8314819751364
Abr07,97.4418401983132
May07,100.527037479075
Jun07,99.5749215128561
Jul07,100.210927651919
Ago07,100.651163150322
Sep07,100.978217436819
Oct07,102.132121038679
Nov07,103.674025022899
Dic07,104.519690129532
Ene08,105.308133148231
Feb08,107.402329433869
Mar08,107.343803572593
Abr08,109.026491768101
May08,108.101418541177
Jun08,110.014931554907
Jul08,110.063367230517
Ago08,109.691103459051
Sep08,110.7426674467
Oct08,110.43730592219
Nov08,110.531973336922
Dic08,109.37708933771
Ene09,110.369635699562
Feb09,109.706950954861
Mar09,108.478546892175
Abr09,109.378452114632
May09,110.800279504928
Jun09,107.023017551328
Jul09,108.611652967622
Ago09,110.61198960687
Sep09,110.928968872368
Oct09,112.091018593256
Nov09,113.168139880958
Dic09,113.798278152966
Ene10,114.066790233887
Feb10,115.262996368135
Mar10,116.784441379103
Abr10,118.008785407794
May10,119.065058648937
Jun10,121.016451371327
Jul10,119.833063860523
Ago10,120.236261309806
Sep10,122.041985141625
Oct10,122.970312003998
Nov10,123.231676736611
Dic10,122.028484466777
Ene11,124.493209014376
Feb11,124.455705720215
Mar11,125.546888198792
Abr11,127.139478536761
May11,125.646771654151
Jun11,125.014390601825
Jul11,127.592427623666
Ago11,127.581692990738
Sep11,127.987491099409
Oct11,128.017422006078
Nov11,129.133455224779
Dic11,132.606320528935
Ene12,130.800040238765
Feb12,130.806109695367
Mar12,133.194077246808
Abr12,131.283680272894
May12,134.733309625153
Jun12,135.183577772318
Jul12,135.719791317355
Ago12,136.461298836738
Sep12,137.375666612532
Oct12,136.934161246795
Nov12,136.929107520625
Dic12,137.212652262184
Ene13,139.220843976578
Feb13,139.692313609953
Mar13,140.50289174793
Abr13,140.16300659789
May13,140.945792615766
Jun13,143.524738092231
Jul13,143.141670387105
Ago13,144.36168867002
Sep13,143.569144187173
Oct13,145.182901874133
Nov13,147.221241795513
Dic13,145.966015714236
Ene14,145.063403185515
Feb14,146.775450836488
Mar14,145.81001242282
Abr14,146.393851050839
May14,145.456142971842
Jun14,144.094980905035
Jul14,145.887131294091
Ago14,146.335649193581
Sep14,146.888629947313
Oct14,148.317666345584
Nov14,147.497318721597
Dic14,146.632069731315
Ene15,147.756580366387
Feb15,148.530397765917
Mar15,149.7342466296
Abr15,152.471072114303
May15,148.001598467745
Jun15,150.273069169179
Jul15,151.302115642306
Ago15,150.176590820722
Sep15,151.412928336185
Oct15,153.589302916454
Nov15,152.919012481337
Dic15,155.572579637414
Ene16,153.366711603022
