"","PD04722MM"
"","Tasas de interés del Banco Central de Reserva - Tasa de Referencia de la Política Monetaria"
Ene95,n.d.
Feb95,n.d.
Mar95,n.d.
Abr95,n.d.
May95,n.d.
Jun95,n.d.
Jul95,n.d.
Ago95,n.d.
Sep95,n.d.
Oct95,n.d.
Nov95,n.d.
Dic95,n.d.
Ene96,n.d.
Feb96,n.d.
Mar96,n.d.
Abr96,n.d.
May96,n.d.
Jun96,n.d.
Jul96,n.d.
Ago96,n.d.
Sep96,n.d.
Oct96,n.d.
Nov96,n.d.
Dic96,n.d.
Ene97,n.d.
Feb97,n.d.
Mar97,n.d.
Abr97,n.d.
May97,n.d.
Jun97,n.d.
Jul97,n.d.
Ago97,n.d.
Sep97,n.d.
Oct97,n.d.
Nov97,n.d.
Dic97,n.d.
Ene98,n.d.
Feb98,n.d.
Mar98,n.d.
Abr98,n.d.
May98,n.d.
Jun98,n.d.
Jul98,n.d.
Ago98,n.d.
Sep98,n.d.
Oct98,n.d.
Nov98,n.d.
Dic98,n.d.
Ene99,n.d.
Feb99,n.d.
Mar99,n.d.
Abr99,n.d.
May99,n.d.
Jun99,n.d.
Jul99,n.d.
Ago99,n.d.
Sep99,n.d.
Oct99,n.d.
Nov99,n.d.
Dic99,n.d.
Ene00,n.d.
Feb00,n.d.
Mar00,n.d.
Abr00,n.d.
May00,n.d.
Jun00,n.d.
Jul00,n.d.
Ago00,n.d.
Sep00,n.d.
Oct00,n.d.
Nov00,n.d.
Dic00,n.d.
Ene01,n.d.
Feb01,n.d.
Mar01,n.d.
Abr01,n.d.
May01,n.d.
Jun01,n.d.
Jul01,n.d.
Ago01,n.d.
Sep01,n.d.
Oct01,n.d.
Nov01,n.d.
Dic01,n.d.
Ene02,n.d.
Feb02,n.d.
Mar02,n.d.
Abr02,n.d.
May02,n.d.
Jun02,n.d.
Jul02,n.d.
Ago02,n.d.
Sep02,n.d.
Oct02,n.d.
Nov02,n.d.
Dic02,n.d.
Ene03,n.d.
Feb03,n.d.
Mar03,n.d.
Abr03,n.d.
May03,n.d.
Jun03,n.d.
Jul03,n.d.
Ago03,n.d.
Sep03,2.75
Oct03,2.75
Nov03,2.5
Dic03,2.5
Ene04,2.5
Feb04,2.5
Mar04,2.5
Abr04,2.5
May04,2.5
Jun04,2.5
Jul04,2.5
Ago04,2.75
Sep04,2.75
Oct04,3
Nov04,3
Dic04,3
Ene05,3
Feb05,3
Mar05,3
Abr05,3
May05,3
Jun05,3
Jul05,3
Ago05,3
Sep05,3
Oct05,3
Nov05,3
Dic05,3.25
Ene06,3.5
Feb06,3.75
Mar06,4
Abr06,4.25
May06,4.5
Jun06,4.5
Jul06,4.5
Ago06,4.5
Sep06,4.5
Oct06,4.5
Nov06,4.5
Dic06,4.5
Ene07,4.5
Feb07,4.5
Mar07,4.5
Abr07,4.5
May07,4.5
Jun07,4.5
Jul07,4.75
Ago07,4.75
Sep07,5
Oct07,5
Nov07,5
Dic07,5
Ene08,5.25
Feb08,5.25
Mar08,5.25
Abr08,5.5
May08,5.5
Jun08,5.75
Jul08,6
Ago08,6.25
Sep08,6.5
Oct08,6.5
Nov08,6.5
Dic08,6.5
Ene09,6.5
Feb09,6.25
Mar09,6
Abr09,5
May09,4
Jun09,3
Jul09,2
Ago09,1.25
Sep09,1.25
Oct09,1.25
Nov09,1.25
Dic09,1.25
Ene10,1.25
Feb10,1.25
Mar10,1.25
Abr10,1.25
May10,1.5
Jun10,1.75
Jul10,2
Ago10,2.5
Sep10,3
Oct10,3
Nov10,3
Dic10,3
Ene11,3.25
Feb11,3.5
Mar11,3.75
Abr11,4
May11,4.25
Jun11,4.25
Jul11,4.25
Ago11,4.25
Sep11,4.25
Oct11,4.25
Nov11,4.25
Dic11,4.25
Ene12,4.25
Feb12,4.25
Mar12,4.25
Abr12,4.25
May12,4.25
Jun12,4.25
Jul12,4.25
Ago12,4.25
Sep12,4.25
Oct12,4.25
Nov12,4.25
Dic12,4.25
Ene13,4.25
Feb13,4.25
Mar13,4.25
Abr13,4.25
May13,4.25
Jun13,4.25
Jul13,4.25
Ago13,4.25
Sep13,4.25
Oct13,4.25
Nov13,4
Dic13,4
Ene14,4
Feb14,4
Mar14,4
Abr14,4
May14,4
Jun14,4
Jul14,3.75
Ago14,3.75
Sep14,3.5
Oct14,3.5
Nov14,3.5
Dic14,3.5
Ene15,3.25
Feb15,3.25
Mar15,3.25
Abr15,3.25
May15,3.25
Jun15,3.25
Jul15,3.25
Ago15,3.25
Sep15,3.5
Oct15,3.5
Nov15,3.5
Dic15,3.75
Ene16,4
Feb16,4.25
Mar16,4.25
Abr16,4.25
May16,4.25
Jun16,4.25
Jul16,4.25
Ago16,4.25
Sep16,4.25
Oct16,4.25
Nov16,4.25
Dic16,4.25
Ene17,4.25
Feb17,4.25
Mar17,4.25
Abr17,4.25
May17,4
Jun17,4
Jul17,3.75
Ago17,3.75
Sep17,3.5
Oct17,3.5
Nov17,3.25
Dic17,3.25
Ene18,3
Feb18,3
Mar18,2.75
Abr18,2.75
May18,2.75
Jun18,2.75
Jul18,2.75
Ago18,2.75
Sep18,2.75
Oct18,2.75
Nov18,2.75
Dic18,2.75
Ene19,2.75
Feb19,2.75
Mar19,2.75
Abr19,2.75
May19,2.75
Jun19,2.75
Jul19,2.75
Ago19,2.5
Sep19,2.5
Oct19,2.5
Nov19,2.25
Dic19,2.25
Ene20,2.25
Feb20,2.25
Mar20,1.25
Abr20,0.25
May20,0.25
Jun20,0.25
Jul20,0.25
Ago20,0.25
Sep20,0.25
Oct20,0.25
Nov20,0.25
Dic20,0.25
Ene21,0.25
Feb21,0.25
Mar21,0.25
Abr21,0.25
May21,0.25
Jun21,0.25
Jul21,0.25
Ago21,0.5
Sep21,1
Oct21,1.5
Nov21,2
Dic21,2.5
Ene22,3
Feb22,3.5
Mar22,4
Abr22,4.5
May22,5
Jun22,5.5
Jul22,6
Ago22,6.5
Sep22,6.75
Oct22,7
Nov22,7.25
Dic22,7.5
Ene23,7.75
Feb23,7.75
Mar23,7.75
Abr23,7.75
May23,7.75
Jun23,7.75
Jul23,7.75
Ago23,7.75
Sep23,7.5
Oct23,7.25
Nov23,7
Dic23,6.75
Ene24,6.5
Feb24,6.25
Mar24,6.25
Abr24,6
May24,5.75
Jun24,5.75
Jul24,5.75
Ago24,5.5
Sep24,5.25
Oct24,5.25
Nov24,5
Dic24,5
Ene25,4.75
Feb25,4.75
Mar25,4.75
Abr25,4.75
May25,4.5
Jun25,4.5
Jul25,4.5
Ago25,4.5
Sep25,4.25
Oct25,4.25
Nov25,4.25
Dic25,4.25
