"","PN00237MM"
"","Liquidez del sistema bancario (fin de periodo) - Liquidez en Soles (millones S/)"
Ene95,6337.4791
Feb95,6593.6899
Mar95,6912.4266
Abr95,6991.7176
May95,7024.3098
Jun95,7448.7875
Jul95,8066.5782
Ago95,7915.7097
Sep95,7808.6256
Oct95,7916.4141
Nov95,7961.8926
Dic95,8422.96658224
Ene96,8375.88948224
Feb96,8617.23278224
Mar96,8954.25518224
Abr96,9060.01468224
May96,9136.24308224
Jun96,9311.67968224
Jul96,9515.06648224
Ago96,9315.91368224
Sep96,9475.81248224
Oct96,9406.95808224
Nov96,9640.24958224
Dic96,10276.45498224
Ene97,9871.09288224
Feb97,9874.05648224
Mar97,10499.75488224
Abr97,10390.49298224
May97,10384.71598224
Jun97,10704.36228224
Jul97,11435.93578224
Ago97,11298.45648224
Sep97,11687.87998224
Oct97,11832.18358224
Nov97,12042.89498224
Dic97,12915.44658224
Ene98,12712.49168224
Feb98,12539.37948224
Mar98,13015.82918224
Abr98,13179.02318224
May98,13180.05688224
Jun98,12957.88808224
Jul98,12999.09868224
Ago98,12588.59068224
Sep98,11902.11038224
Oct98,11957.97238224
Nov98,12134.81668224
Dic98,12604.42358224
Ene99,12167.05568224
Feb99,12419.15058224
Mar99,12252.47548224
Abr99,12140.97998224
May99,12354.09398224
Jun99,12374.17098224
Jul99,13162.89178224
Ago99,13060.9756158
Sep99,13304.6468158
Oct99,13275.7773158
Nov99,13293.9074158
Dic99,14069.0377158
Ene00,13452.0230158
Feb00,13110.5482158
Mar00,13479.1835158
Abr00,13234.5098158
May00,13130.9225158
Jun00,13408.2256158
Jul00,13763.2247158
Ago00,13549.0684158
Sep00,13705.4329158
Oct00,13689.48453802
Nov00,13673.80476024
Dic00,14418.23418247
Ene01,13633.83527641
Feb01,13458.85607641
Mar01,13791.71557641
Abr01,14083.89937641
May01,13846.92987641
Jun01,13691.30667641
Jul01,14313.72557641
Ago01,14169.24307641
Sep01,14175.83997641
Oct01,14477.14977641
Nov01,14955.49237641
Dic01,16170.92297641
Ene02,15641.13023664
Feb02,15974.56453664
Mar02,16373.76233664
Abr02,16258.48193664
May02,16241.23763664
Jun02,16610.43373664
Jul02,17659.45643664
Ago02,17445.67423664
Sep02,17059.11183664
Oct02,16768.49733664
Nov02,16839.57983664
Dic02,17906.78413664
Ene03,17345.7577
Feb03,17804.4035
Mar03,18131.9541
Abr03,18085.1819
May03,18225.9950516
Jun03,17914.0706
Jul03,18956.2035
Ago03,18648.39628101
Sep03,18669.57190545
Oct03,18795.62399559
Nov03,19113.29552166
Dic03,19812.13339638
Ene04,20326.72739638
Feb04,20198.06335187
Mar04,20503.22293721
Abr04,20381.11495997
May04,20492.99588117
Jun04,20461.95423108
Jul04,21009.2112152
Ago04,21278.09470586
Sep04,21887.02961052
Oct04,23368.53216582
Nov04,24054.56138416
Dic04,25436.83802038
Ene05,25516.48839377
Feb05,26487.42143132
Mar05,27469.93771952
Abr05,27149.34451742
May05,27166.67716159
Jun05,27777.76979708
Jul05,28735.19468079
Ago05,28212.8508
Sep05,28050.92931778
Oct05,28372.68321392
Nov05,28885.59309108
Dic05,30434.42393544
Ene06,29013.34621268
Feb06,29283.95875871
Mar06,29803.02800766
Abr06,28368.80450931
May06,27892.99912257
Jun06,28333.12739281
Jul06,29317.89635836
Ago06,29890.27796034
Sep06,30099.35601295
Oct06,30282.0767277
Nov06,31878.83562083
Dic06,35918.30419924
Ene07,36894.31061612
Feb07,37828.26342434
Mar07,38771.84116907
Abr07,38240.33187318
May07,38799.16803109
Jun07,41229.9740832
Jul07,41755.44513763
Ago07,41825.18710199
Sep07,41743.04486308
Oct07,43836.80875237
Nov07,46296.90277704
Dic07,48644.46614427
Ene08,51562.28814183
Feb08,57593.07366087
Mar08,60757.59945923
Abr08,63288.37597324
May08,64516.37515692
Jun08,65475.10650714
Jul08,64906.15914174
Ago08,65445.87259465
Sep08,62560.51994232
Oct08,60466.83233595
Nov08,59424.967422
Dic08,60206.57315736
Ene09,58217.84386876
Feb09,57628.97075228
Mar09,57444.82566318
Abr09,57312.3553192109
May09,58062.2666311609
Jun09,57960.95472599
Jul09,60377.01243912
Ago09,60017.0726546
Sep09,59891.465961375
Oct09,62440.158050816
Nov09,64278.278580019
Dic09,66561.091512088
Ene10,67290.179982883
Feb10,69463.991027276
Mar10,72065.2325967502
Abr10,71502.496614598
May10,71521.410022235
Jun10,72569.945612216
Jul10,76148.354871225
Ago10,80589.149419045
Sep10,82315.446116865
Oct10,83067.886718365
Nov10,84755.027366015
Dic10,89051.96883205
Ene11,87499.1018
Feb11,88676.63499742
Mar11,89281.9528687
Abr11,87161.4760796
May11,87484.55741783
Jun11,87199.7682311
Jul11,91491.74334107
Ago11,91661.47931937
Sep11,92965.47562782
Oct11,93248.7401535
Nov11,94708.8220392
Dic11,101248.230117
Ene12,101880.17408031
Feb12,104046.20610587
Mar12,106808.74373155
Abr12,108764.42764261
May12,110737.73754721
Jun12,109480.02469178
Jul12,110763.6368357
Ago12,112657.65977909
Sep12,114877.90941542
Oct12,118329.02508878
Nov12,121659.96235384
Dic12,126199.08974557
Ene13,129381.14373206
Feb13,133398.58094958
Mar13,132895.80379549
Abr13,132915.12506444
May13,132915.23133818
Jun13,132479.56750916
Jul13,134493.78616935
Ago13,133073.96539439
Sep13,131517.1955229
Oct13,132660.78009618
Nov13,132996.41786576
Dic13,135555.39628432
Ene14,132063.50181163
Feb14,132372.99562273
Mar14,132344.85052643
Abr14,132350.85564164
May14,133882.60557386
Jun14,135600.82169087
Jul14,138143.5262341
Ago14,138793.92201963
Sep14,136631.4035412
Oct14,137941.99986565
Nov14,138654.84783693
Dic14,145503.22236224
Ene15,141933.7242309
Feb15,140609.41233167
Mar15,138927.67463796
Abr15,139137.78071525
May15,138143.87990124
Jun15,138018.08204637
Jul15,140803.65481401
Ago15,137167.18247532
Sep15,137077.63808944
Oct15,139502.21892053
Nov15,141316.88607007
Dic15,148398.93225415
Ene16,145452.94158185
Feb16,146047.48576064
Mar16,144548.04807954
Abr16,147220.15299557
May16,149275.32050687
Jun16,149835.46699026
Jul16,159175.47576732
Ago16,161245.76984059
Sep16,161693.12073509
Oct16,160326.59871864
Nov16,162308.09490402
Dic16,165423.89277803
Ene17,165307.18967167
Feb17,165107.30773497
Mar17,165556.95884138
Abr17,164975.73111821
May17,167165.6585383
Jun17,168565.03464669
Jul17,170004.54398893
Ago17,172548.32597103
Sep17,178422.72167441
Oct17,179655.10839983
Nov17,182051.12532612
Dic17,186976.59715848
Ene18,189130.82683392
Feb18,189109.77071356
Mar18,187291.85616273
Abr18,185719.89963319
May18,185512.83020938
Jun18,186875.15902027
Jul18,190384.77519047
Ago18,192957.29256157
Sep18,193052.5490081
Oct18,193787.1218886
Nov18,197561.81042896
Dic18,203589.18559941
Ene19,203336.26316985
Feb19,202959.53838262
Mar19,204963.11443983
Abr19,203230.38726196
May19,204344.6075451
Jun19,204791.36121697
Jul19,209608.99578673
